,Match_Id,Batsman,batting_team,bowling_team,balls_faced,sixes,fours,runs,strike_rate,dismissal_type
44,11413,DJ Hooda,Sunrisers Hyderabad,Delhi Capitals,5,0,0,5,100.0,Not Out
0,1,BCJ Cutting,Sunrisers Hyderabad,Royal Challengers Bangalore,6,2,0,16,266.67,Not Out
1,10,BCJ Cutting,Sunrisers Hyderabad,Mumbai Indians,10,0,4,20,200.0,bowled
2,14,BCJ Cutting,Sunrisers Hyderabad,Kolkata Knight Riders,10,1,1,15,150.0,caught
3,498,BCJ Cutting,Rajasthan Royals,Delhi Capitals,6,1,0,8,133.33,Not Out
4,622,BCJ Cutting,Sunrisers Hyderabad,Kings XI Punjab,11,2,0,18,163.64,Not Out
5,634,BCJ Cutting,Sunrisers Hyderabad,Kolkata Knight Riders,1,0,0,0,0.0,stumped
6,635,BCJ Cutting,Sunrisers Hyderabad,Gujarat Lions,7,0,1,8,114.29,caught
7,636,BCJ Cutting,Sunrisers Hyderabad,Royal Challengers Bangalore,15,4,3,39,260.0,Not Out
8,7900,BCJ Cutting,Mumbai Indians,Sunrisers Hyderabad,9,0,1,9,100.0,bowled
9,7924,BCJ Cutting,Mumbai Indians,Royal Challengers Bangalore,6,1,1,12,200.0,Not Out
10,7934,BCJ Cutting,Mumbai Indians,Kolkata Knight Riders,9,3,1,24,266.67,caught
11,7940,BCJ Cutting,Mumbai Indians,Rajasthan Royals,7,1,0,11,157.14,Not Out
12,7943,BCJ Cutting,Mumbai Indians,Kings XI Punjab,7,0,0,4,57.14,caught
13,7948,BCJ Cutting,Mumbai Indians,Delhi Capitals,20,3,2,37,185.0,caught
14,11139,BCJ Cutting,Mumbai Indians,Delhi Capitals,4,0,0,3,75.0,caught
15,11325,BCJ Cutting,Mumbai Indians,Delhi Capitals,4,0,0,2,50.0,lbw
16,11327,BCJ Cutting,Mumbai Indians,Rajasthan Royals,9,1,1,13,144.44,Not Out
0,1,CH Gayle,Royal Challengers Bangalore,Sunrisers Hyderabad,21,3,2,32,152.38,caught
1,5,CH Gayle,Royal Challengers Bangalore,Delhi Capitals,8,0,1,6,75.0,caught
2,12,CH Gayle,Royal Challengers Bangalore,Mumbai Indians,27,1,2,22,81.48,caught
